word,emotion,color,orientation,sentiment,subjectivity,source
يأذن,trust,,active,,,emolex
تلقائي,trust,,,,,emolex
مسلمة,trust,,,,,emolex
بديهي,trust,,,,,emolex
جليسه اطفال,trust,,,,,emolex
مؤيد,trust,,,positive,,emolex
شارة,trust,blue,,,,emolex
بنك,trust,green,,,,emolex
مصرفي,trust,,,,,emolex
صفقة,trust,green,active,positive,strong,emolex
عامل البار,trust,,,,,emolex
مقايضة,trust,,,,,emolex
قاعدة,trust,white,,,,emolex
حجر الأساس,trust,grey,,positive,,emolex
يعتقد,trust,white,,,,emolex
مؤمن,trust,white,passive,,,emolex
الاعتقاد,trust,white,,positive,,emolex
فاعل خير,trust,,,positive,weak,emolex
وصية,trust,green,,,,emolex
بطانية,trust,,,,,emolex
حارس,trust,,,positive,,emolex
شقيق,trust,blue,,positive,,emolex
أخوة,trust,,,positive,,emolex
ميزانية,trust,,,,,emolex
بيروقراطية,trust,,,negative,,emolex
منحة,trust,green,,,,emolex
كبير الخدم,trust,grey,,positive,,emolex
نظام داخلي,trust,,,,,emolex
خزانة,trust,brown,,positive,,emolex
آلة حاسبة,trust,grey,,positive,,emolex
شرائع,trust,,,,,emolex
ناظر,trust,,,positive,,emolex
أمين الصندوق,trust,green,,,,emolex
مركز,trust,,,positive,,emolex
التصديق,trust,,,,,emolex
رئيس,trust,,,positive,,emolex
رئيسة المجلس,trust,,,positive,,emolex
مستشار,trust,black,,,,emolex
قسيس,trust,black,,,,emolex
خريطة,trust,white,active,,,emolex
قائمة تدقيق,trust,,,positive,,emolex
كيميائي,trust,white,,positive,,emolex
تسجيل الأحداث,trust,,,positive,,emolex
حضارة,trust,,,positive,weak,emolex
عشيرة,trust,,,,,emolex
تخليص,trust,white,,positive,,emolex
الكتبة,trust,,,positive,,emolex
مدرب حافلة ركاب,trust,,active,,,emolex
التأم,trust,,,,,emolex
تملق,trust,purple,active,positive,strong,emolex
تعايش,trust,grey,,positive,,emolex
التعايش,trust,,,,,emolex
مقنع,trust,,,positive,strong,emolex
تماسك,trust,,,positive,weak,emolex
متماسك,trust,,,positive,weak,emolex
متعاون,trust,,,,,emolex
جانبية,trust,blue,,,,emolex
جماعي,trust,,,positive,,emolex
كولونيل,trust,,,positive,,emolex
قائد,trust,,,positive,,emolex
آمر,trust,,,positive,,emolex
تجارة,trust,,active,,,emolex
عمولة,trust,grey,,positive,,emolex
ملتزم,trust,,,positive,,emolex
لجنة,trust,white,,,,emolex
عميد بحري,trust,blue,,positive,,emolex
الكومنولث,trust,white,,positive,,emolex
نقل,trust,white,,positive,,emolex
الاتصالات,trust,white,,,,emolex
المدمج,trust,,,positive,weak,emolex
بوصلة,trust,,,,,emolex
مهارة,trust,,,positive,weak,emolex
جدارات,trust,,,positive,weak,emolex
مختص,trust,,,positive,weak,emolex
الالتزام,trust,,,positive,,emolex
مراقب,trust,,,,,emolex
رفيق,trust,,,positive,,emolex
اتفاق,trust,,,positive,,emolex
فهرس أبجدي,trust,,,positive,,emolex
حليف,trust,,,positive,,emolex
اعترف,trust,grey,passive,negative,strong,emolex
كشف السر,trust,,passive,positive,strong,emolex
سري,trust,,,,,emolex
سرا,trust,,,,,emolex
التأكيد,trust,white,,,,emolex
تم تأكيد,trust,,,positive,,emolex
مطابقة,trust,black,passive,,,emolex
تكتل,trust,,,,,emolex
مجمع,trust,white,,positive,,emolex
الكونغرس,trust,grey,,,,emolex
انسجام,trust,,,positive,,emolex
الضامة , ضام , رابط,trust,,,,,emolex
ضمير,trust,,,positive,weak,emolex
منجز وفقا لما يمليه الضمير,trust,white,,positive,strong,emolex
تراعي,trust,,,positive,strong,emolex
التناسق,trust,blue,,positive,,emolex
قرين,trust,,,,,emolex
شرطي,trust,blue,,,,emolex
ثبات,trust,,,positive,strong,emolex
ثابت,trust,yellow,,positive,,emolex
باستمرار,trust,,,,,emolex
تشكل,trust,,passive,,,emolex
دستوري,trust,,,positive,,emolex
قنصل,trust,grey,,,,emolex
شاور,trust,,,positive,,emolex
مساهم,trust,,,positive,,emolex
دير,trust,,,positive,,emolex
ونقل الملكية,trust,,,,,emolex
مقتنع,trust,,passive,,,emolex
مقنع,trust,,,positive,strong,emolex
متعاون,trust,,,positive,,emolex
تعاون,trust,yellow,active,positive,weak,emolex
تعاوني,trust,,active,positive,weak,emolex
مؤسسة,trust,,,positive,,emolex
صحة,trust,,,,,emolex
يثبت,trust,,,positive,,emolex
تأييد,trust,,,,,emolex
عالمي,trust,,,positive,,emolex
مستشار قانوني,trust,,,positive,,emolex
مستشار,trust,,,positive,,emolex
عد,trust,,,positive,,emolex
إبن بلد,trust,,,,,emolex
مقاطعة,trust,,,,,emolex
التوصيل,trust,,,,,emolex
عهد,trust,,,positive,weak,emolex
التغطية,trust,white,active,,,emolex
تصديق,trust,,,positive,strong,emolex
الاعتماد,trust,white,,positive,,emolex
مصداقية,trust,white,,positive,,emolex
معقول,trust,blue,,positive,strong,emolex
ائتمان,trust,,,positive,,emolex
جدير بالتصديق,trust,,,positive,,emolex
طاقم,trust,blue,,,,emolex
ناضر,trust,,,negative,weak,emolex
مهم,trust,,,positive,,emolex
مكعب,trust,,,,,emolex
مطبخي,trust,,,positive,,emolex
قابل للشفاء,trust,,,positive,,emolex
وصي,trust,,,,,emolex
عهدة,trust,grey,,,,emolex
شماس الكنيسة,trust,white,,,,emolex
علاقات,trust,,,,,emolex
الفعل,trust,grey,,,,emolex
دافع,trust,,,positive,,emolex
مدافع,trust,,active,positive,strong,emolex
احترام,trust,,,positive,strong,emolex
نهائي,trust,,,positive,weak,emolex
مندوب,trust,grey,,positive,,emolex
يعتمد,trust,brown,passive,negative,weak,emolex
مستودع,trust,,,,,emolex
عمق,trust,,,positive,,emolex
النائب,trust,,,,,emolex
إختصاصي الامراض الجلدية,trust,,,,,emolex
تعيين,trust,,,,,emolex
عزم,trust,,active,positive,strong,emolex
تعبدي,trust,white,,positive,,emolex
قاموس,trust,white,,positive,,emolex
قول فصل,trust,yellow,,,,emolex
التفاضليه,trust,,,,,emolex
أرقام,trust,,,,,emolex
كرامة,trust,blue,,positive,strong,emolex
اجتهاد,trust,purple,,positive,weak,emolex
دبلوماسي,trust,,,positive,weak,emolex
مدير,trust,,,positive,,emolex
المريد,trust,,passive,,,emolex
كشف,trust,,,,,emolex
ديوان,trust,,,,,emolex
طبيب,trust,white,,positive,,emolex
عقيدة,trust,,,,,emolex
عقيدة,trust,,,,,emolex
ارتدى,trust,purple,,positive,,emolex
بدون شك,trust,,,positive,strong,emolex
بصراحة,trust,,,,strong,emolex
متانة,trust,green,,positive,weak,emolex
متين,trust,,,positive,weak,emolex
نسر,trust,brown,,,,emolex
اقتصاد,trust,black,,,,emolex
تربوي,trust,,,positive,weak,emolex
فعال,trust,,active,positive,weak,emolex
المسنين,trust,brown,,positive,,emolex
شيوخ,trust,grey,,positive,,emolex
منتخب,trust,,active,positive,,emolex
جمهور الناخبين,trust,,,,,emolex
وضح,trust,,,positive,,emolex
ربوة,trust,,,positive,strong,emolex
التأكيد على,trust,,,,,emolex
توظيف,trust,grey,,,,emolex
مكن,trust,,,positive,weak,emolex
التمكين,trust,,,positive,,emolex
موسوعة,trust,,,positive,,emolex
منح,trust,,active,positive,,emolex
هبة,trust,,,positive,,emolex
طاقم,trust,white,,positive,,emolex
ودع,trust,,active,positive,weak,emolex
أسقفي,trust,,,,,emolex
مرافقة,trust,blue,,,,emolex
إنشاء,trust,,active,positive,,emolex
واضح,trust,,passive,positive,weak,emolex
تبادل,trust,,active,positive,,emolex
المنفذ,trust,,,,,emolex
شاملة,trust,,,positive,weak,emolex
يختبر,trust,,,positive,weak,emolex
خبير,trust,,,positive,weak,emolex
خبرة,trust,,,positive,,emolex
شرح,trust,,active,positive,,emolex
شاهد عيان,trust,,,,,emolex
اختراع , صنع,trust,,,negative,strong,emolex
حقيقة,trust,white,,,strong,emolex
حقائق,trust,,,positive,strong,emolex
كلية,trust,,,positive,,emolex
تماما,trust,,,positive,weak,emolex
مؤمن,trust,blue,passive,positive,strong,emolex
مألوف,trust,,,positive,weak,emolex
الآب,trust,brown,,,,emolex
لا عيب فيه,trust,white,,positive,,emolex
زميل,trust,blue,,positive,,emolex
درابزين,trust,grey,,,,emolex
ملء,trust,,active,positive,,emolex
رجل الاطفاء,trust,red,,,,emolex
ثبات,trust,,,positive,,emolex
ثابت,trust,,,,,emolex
الرئيسية,trust,,,,,emolex
شفة,trust,white,,,,emolex
تابع,trust,,passive,,,emolex
أساس,trust,grey,,,,emolex
غفور,trust,,,positive,strong,emolex
شكليات,trust,,,positive,,emolex
متكون,trust,,,positive,,emolex
معادلة,trust,,,positive,,emolex
حصن,trust,brown,,,,emolex
الإطار,trust,brown,,,,emolex
صريح,trust,,,positive,strong,emolex
صراحة,trust,,,positive,,emolex
تماما,trust,,,positive,weak,emolex
أساسي,trust,blue,,positive,strong,emolex
فتيل,trust,red,,positive,,emolex
سعة,trust,,,,,emolex
حامية,trust,,,positive,,emolex
بوابة,trust,,,,,emolex
بوابة,trust,brown,,,,emolex
المقايسة,trust,,,,,emolex
جريدة رسمية,trust,white,,positive,,emolex
جنرال لواء,trust,grey,,positive,,emolex
انسان محترم,trust,,,positive,,emolex
الطبقة العليا,trust,,,positive,,emolex
حقيقي. صادق. صميم,trust,,,positive,weak,emolex
عارضة خشبية,trust,grey,,positive,,emolex
الإنجيل,trust,,,positive,,emolex
حكم,trust,,,positive,,emolex
المربية,trust,white,,,,emolex
محافظ حاكم,trust,,,,,emolex
قواعد,trust,,,,,emolex
جد,trust,,,,,emolex
مثابرة,trust,,,positive,strong,emolex
أرض,trust,brown,active,,,emolex
ضمان,trust,,,positive,weak,emolex
محروس,trust,,,,,emolex
وصي,trust,,,positive,weak,emolex
وصاية,trust,yellow,,positive,,emolex
حاكمي,trust,,,positive,,emolex
توجيه,trust,black,active,positive,weak,emolex
يرشد,trust,,active,positive,,emolex
دليل,trust,,,positive,,emolex
المعلم,trust,,,positive,,emolex
مجمعة,trust,,,,,emolex
وابل,trust,,,negative,strong,emolex
كتيب,trust,grey,,,,emolex
مرفأ,trust,brown,,,,emolex
ملاذ,trust,,,positive,strong,emolex
المساعد,trust,white,,positive,,emolex
تراث,trust,,,,,emolex
بطلة,trust,,,positive,strong,emolex
أمانة,trust,white,,positive,strong,emolex
شرف,trust,,passive,positive,weak,emolex
مشرف,trust,,,positive,strong,emolex
حصان,trust,,,,,emolex
تواضع,trust,white,,positive,strong,emolex
زراعة,trust,,,positive,,emolex
صامد,trust,,,negative,strong,emolex
تحصين,trust,,,,,emolex
عرف,trust,,,positive,,emolex
نزيه,trust,,,positive,weak,emolex
نزاهة,trust,,,positive,weak,emolex
معصوم من الخطأ,trust,white,,positive,strong,emolex
منيع,trust,,,,,emolex
مهم,trust,,,positive,weak,emolex
حساس,trust,,,,,emolex
قنع,trust,,passive,,,emolex
إدراجه,trust,,,,,emolex
متعذر محوه,trust,black,,positive,strong,emolex
تعويض,trust,,,positive,,emolex
المسافة البادئة,trust,,,,,emolex
غير قابل للتخريب,trust,grey,,positive,strong,emolex
لا يتجزأ,trust,yellow,,,,emolex
النجاح المؤكد,trust,,,positive,strong,emolex
مؤثر,trust,,,positive,weak,emolex
إعلام,trust,,active,positive,,emolex
لا يضاهى,trust,white,,positive,,emolex
البريء,trust,white,,positive,weak,emolex
معهد,trust,grey,active,,,emolex
أمر,trust,,active,positive,,emolex
تعليمات,trust,,active,positive,,emolex
عازلة,trust,green,,,,emolex
تأمين,trust,,,positive,,emolex
سليم,trust,,passive,positive,weak,emolex
النزاهة,trust,green,,positive,strong,emolex
ذكي,trust,,,positive,strong,emolex
اعتزم,trust,,active,,weak,emolex
شفاعة,trust,,,,,emolex
حدس,trust,,passive,positive,,emolex
حديد,trust,grey,active,positive,,emolex
لا يقبل الجدل,trust,black,,positive,strong,emolex
صحافة,trust,,,,,emolex
عامل بارع,trust,,,,,emolex
حصيف,trust,,,positive,strong,emolex
فقيه,trust,,,,,emolex
هيئة المحلفين,trust,black,,,,emolex
عدالة,trust,black,,positive,weak,emolex
مبرر,trust,blue,,positive,strong,emolex
كلسون,trust,,,,,emolex
ضع الكلمة المناسبة,trust,,,,,emolex
معلم معروف,trust,brown,,,,emolex
الليزر,trust,,,positive,,emolex
الحائز على جائزة,trust,,,positive,,emolex
القانون,trust,,,positive,,emolex
قانوني,trust,,,positive,weak,emolex
زعيم,trust,,active,positive,,emolex
قيادة,trust,,,positive,weak,emolex
ميل,trust,green,,,,emolex
قانوني,trust,white,,positive,,emolex
مشرع,trust,,,,,emolex
السلطة التشريعية,trust,brown,,,,emolex
شرعية,trust,,,positive,weak,emolex
المقرض,trust,,,,,emolex
حاجز,trust,brown,,,,emolex
مستوى,trust,,active,positive,,emolex
ملازم,trust,,,,,emolex
لغوي,trust,,,positive,,emolex
إقامة,trust,brown,,,,emolex
وفاء,trust,,,positive,strong,emolex
آلة,trust,grey,,,,emolex
مغناطيس,trust,,,positive,,emolex
عماد,trust,,,positive,,emolex
اعمال صيانة,trust,,,,,emolex
جلالة,trust,,,positive,strong,emolex
تدبير,trust,,active,positive,,emolex
إدارة,trust,,active,positive,,emolex
موظف كبير,trust,,,positive,,emolex
كتيب,trust,white,,,,emolex
بحري,trust,blue,,,,emolex
مارشال,trust,green,,positive,,emolex
زميل,trust,pink,,positive,,emolex
رياضي,trust,,,,,emolex
العاملة في المستشفي,trust,green,,positive,,emolex
حكمة,trust,red,,,,emolex
قياس,trust,,active,,,emolex
قياس,trust,blue,,positive,,emolex
الناصح,trust,,,positive,weak,emolex
تاجر,trust,,,,,emolex
ميزة,trust,blue,,positive,strong,emolex
رسول,trust,,,,,emolex
مجهر,trust,grey,,,,emolex
خندق,trust,blue,,,,emolex
وسيط,trust,blue,,positive,,emolex
متواضع,trust,white,,positive,weak,emolex
راهب,trust,brown,,positive,,emolex
زواج من إمرأة واحدة,trust,,,,,emolex
المراسي,trust,brown,,,,emolex
أخلاقية,trust,,,positive,strong,emolex
دائن,trust,,,,,emolex
الأمة,trust,,,,,emolex
تفاوض,trust,,active,positive,,emolex
عش,trust,brown,,,,emolex
حضن,trust,pink,,positive,,emolex
حياد,trust,,,,,emolex
النبيل,trust,purple,,positive,strong,emolex
النبيل,trust,purple,,positive,,emolex
كاتب عدل,trust,blue,,,,emolex
راهبة,trust,white,,negative,,emolex
ممرضة,trust,white,active,positive,,emolex
حلف,trust,white,,positive,,emolex
طاعة,trust,,active,positive,strong,emolex
تجبر,trust,,,negative,,emolex
طبيب مولد,trust,,,,,emolex
واضح,trust,purple,,positive,weak,emolex
راكب,trust,,,positive,,emolex
عرض,trust,green,,,,emolex
ضابط,trust,blue,,positive,,emolex
الرسمية,trust,,,,,emolex
كلي العلم,trust,white,,positive,,emolex
المتفائل,trust,,,positive,,emolex
رسامة,trust,,,positive,,emolex
مرسوم,trust,,,,,emolex
الأرثوذكسية,trust,white,,,strong,emolex
ميثاق,trust,,,,,emolex
جداري,trust,,,positive,,emolex
أبرشية,trust,white,,,,emolex
برلمان,trust,,,,,emolex
اشترك,trust,,active,positive,,emolex
شراكة,trust,,,positive,,emolex
بطريركي,trust,purple,,positive,,emolex
دورية,trust,blue,,,,emolex
كفيل,trust,,,positive,,emolex
رعاية,trust,,,positive,,emolex
رصيف الشارع,trust,black,,,,emolex
رهن,trust,,,negative,,emolex
نسب,trust,purple,,positive,,emolex
تصور شعور,trust,,passive,positive,,emolex
الدائمة,trust,green,,positive,,emolex
دورية,trust,,,,,emolex
الشخصية,trust,,,,,emolex
اقناع,trust,,active,positive,strong,emolex
وثيقة الصلة,trust,white,,positive,weak,emolex
خيري,trust,,,,,emolex
محب الخير,trust,,,positive,,emolex
فيلسوف,trust,,,positive,,emolex
الطبيب المعالج,trust,white,,positive,,emolex
فيزيائي,trust,,,,,emolex
حبة دواء,trust,,,positive,,emolex
طيار,trust,blue,,positive,,emolex
لباب,trust,,,positive,,emolex
محور,trust,yellow,,positive,,emolex
سياسات,trust,,,,,emolex
تصويت,trust,orange,,,,emolex
البابا,trust,white,,,,emolex
الأولوية,trust,purple,,positive,,emolex
غالب,trust,,,positive,weak,emolex
تفضل,trust,,passive,positive,strong,emolex
رجحان,trust,green,,positive,strong,emolex
رئيس,trust,blue,,positive,,emolex
افتراض,trust,,passive,,,emolex
منتشر,trust,grey,,,weak,emolex
كاهن,trust,,,positive,,emolex
كتاب تمهيدي,trust,,,positive,,emolex
المالك,trust,,,positive,,emolex
كنيف,trust,,,negative,,emolex
نزاهة,trust,,,positive,,emolex
المسئول عن النظام,trust,,,positive,,emolex
المحترفين,trust,,,positive,,emolex
دكتور جامعى,trust,brown,,positive,,emolex
أستاذية,trust,,,,,emolex
بارع,trust,red,,positive,strong,emolex
دليل,trust,,,,,emolex
محمي,trust,,,,,emolex
حماية,trust,,,positive,,emolex
حامية,trust,white,,positive,strong,emolex
مؤكد,trust,,,positive,,emolex
تزود,trust,,,positive,,emolex
فقرة شرطية,trust,,,,,emolex
الوكيل,trust,,,,,emolex
حكيم , حذر , عاقل,trust,yellow,,positive,strong,emolex
بحت,trust,white,,positive,,emolex
طهارة,trust,white,,positive,weak,emolex
المفترض,trust,blue,,,,emolex
تأهلت,trust,,,positive,weak,emolex
رادار,trust,green,,,,emolex
الحارس,trust,,,,,emolex
صدق,trust,,,,,emolex
معقول,trust,white,,positive,strong,emolex
حقيقة,trust,white,,positive,weak,emolex
إعادة الطمأنينة,trust,,,positive,strong,emolex
طمأن,trust,,,positive,strong,emolex
اتكأ,trust,,active,positive,,emolex
نوصي,trust,,,positive,strong,emolex
إعادة النظر في,trust,,,positive,,emolex
المجندين,trust,,,,,emolex
حكم,trust,,,,,emolex
ملكي,trust,,,positive,strong,emolex
وصي العرش,trust,,,positive,,emolex
سجل,trust,,,,,emolex
السداد,trust,green,,positive,,emolex
تعزيز,trust,,,positive,weak,emolex
تعزيزات,trust,green,,,,emolex
ذات صلة,trust,,,,,emolex
نسبيا,trust,,passive,,,emolex
ذو صلة,trust,blue,,positive,weak,emolex
الموثوقية,trust,,,positive,weak,emolex
موثوق,trust,blue,,positive,weak,emolex
اعتماد,trust,green,,positive,,emolex
دين,trust,,,,,emolex
تعويض,trust,,,positive,weak,emolex
مراسل,trust,,,positive,,emolex
حسن السمعة,trust,,,positive,weak,emolex
محترم,trust,,,positive,strong,emolex
الاحترام,trust,,,positive,strong,emolex
يحترم,trust,purple,,positive,,emolex
مسؤول,trust,,,positive,weak,emolex
احتفظ,trust,,,,,emolex
راسخ,trust,brown,,positive,,emolex
محكمة إستئناف اكليركية,trust,,,positive,,emolex
نمط,trust,,,positive,,emolex
حماية,trust,,active,positive,strong,emolex
حفظها,trust,,,,,emolex
حكيم,trust,white,,positive,strong,emolex
أخضر,trust,,,,,emolex
مرتاب,trust,,,negative,,emolex
مدرسة,trust,,active,,,emolex
علمي,trust,,,positive,,emolex
الكتاب المقدس,trust,,,,,emolex
اغلاق محكم,trust,,active,positive,,emolex
الأختام,trust,,,,,emolex
سر,trust,,,,,emolex
ضمانات,trust,,,,,emolex
مجلس الشيوخ,trust,,,,,emolex
أقدمية,trust,grey,,positive,,emolex
الحارس,trust,green,,positive,,emolex
خفير,trust,,,,,emolex
هادئ,trust,,passive,negative,strong,emolex
سلسلة,trust,,,,,emolex
خطبة,trust,brown,,positive,,emolex
خادم,trust,,,negative,,emolex
تخدم,trust,grey,active,negative,,emolex
مأوى,trust,brown,,positive,weak,emolex
الراعي,trust,,,positive,,emolex
شريف,trust,,,,,emolex
صاحب المتجر,trust,,,,,emolex
كتف,trust,brown,active,positive,,emolex
تبين,trust,green,active,,weak,emolex
التوقيع,trust,black,,,,emolex
صادق,trust,,,positive,strong,emolex
سيدي المحترم,trust,,,positive,,emolex
بارع,trust,,,positive,strong,emolex
حداد,trust,,,,,emolex
رصانة,trust,,,positive,,emolex
تضامن,trust,,,positive,strong,emolex
صلابة,trust,,,positive,,emolex
سيادة,trust,purple,,,,emolex
متخصص,trust,,,,,emolex
متخصصون,trust,,,,,emolex
الناطق بلسان,trust,,active,,,emolex
كفيل,trust,,active,positive,,emolex
نظيف,trust,white,,positive,strong,emolex
مستقر,trust,,,positive,weak,emolex
القدرة على الاحتمال,trust,,,positive,,emolex
قاس,trust,grey,,negative,strong,emolex
بيان,trust,black,,positive,,emolex
إحصائي,trust,,,,,emolex
ثابت,trust,,,positive,strong,emolex
مضيف,trust,,,positive,,emolex
بسيط,trust,white,,positive,strong,emolex
قوة,trust,,,positive,weak,emolex
الهيكلي,trust,,,,,emolex
بناء,trust,,active,positive,,emolex
إثبات,trust,,active,positive,,emolex
اقترح,trust,grey,passive,positive,weak,emolex
تضرع,trust,,,positive,,emolex
دعم,trust,,,positive,,emolex
ضمانة,trust,green,,positive,,emolex
بديل,trust,,,,,emolex
أقسم,trust,,,positive,strong,emolex
التآزر,trust,,,positive,,emolex
مجلس ,trust,white,,positive,,emolex
النظام,trust,,,,,emolex
بالتزامن,trust,,,,,emolex
معادل,trust,,,,strong,emolex
يعلم,trust,,active,,,emolex
مدرس,trust,grey,,positive,,emolex
الفريق,trust,,,,,emolex
معتدل,trust,grey,,positive,weak,emolex
شهادة,trust,,,,,emolex
لاهوتي,trust,white,,,,emolex
نظرية,trust,,,,,emolex
ميزان الحرارة,trust,red,,,,emolex
وقور,trust,,,positive,strong,emolex
عرش,trust,,,positive,,emolex
عنوان,trust,,,positive,,emolex
تجارة,trust,,active,,,emolex
مدرب,trust,brown,,,,emolex
عملية تجارية,trust,,active,,,emolex
نسخة طبق الأصل,trust,white,,,,emolex
ترجمة,trust,,,,,emolex
أمين صندوق,trust,green,,,,emolex
قبيلة,trust,,,,,emolex
منبر,trust,,,,,emolex
شاحنة,trust,,,,,emolex
حزم,trust,brown,,,,emolex
ثقة,trust,,passive,positive,weak,emolex
قيم,trust,,,,,emolex
حقيقة,trust,,,positive,strong,emolex
صادق,trust,,,positive,strong,emolex
مصداقية,trust,white,,positive,strong,emolex
وصاية,trust,,,positive,,emolex
حكم,trust,black,,positive,,emolex
غير منقطع,trust,white,,positive,weak,emolex
فهم,trust,green,,positive,weak,emolex
الاكتتاب,trust,,,positive,,emolex
لا لبس فيه,trust,,,positive,strong,emolex
متحد,trust,white,,positive,,emolex
وحدة,trust,,,positive,weak,emolex
لا يرقى إليه الشك,trust,,,positive,strong,emolex
بلا جدال,trust,,,positive,strong,emolex
غير مفند,trust,grey,,positive,,emolex
جدير بالثقة,trust,black,,negative,strong,emolex
غير متموج,trust,,,positive,,emolex
مستقيم,trust,white,,positive,weak,emolex
مرشد,trust,,,positive,,emolex
معتاد,trust,,,positive,,emolex
بسالة,trust,,,positive,strong,emolex
التحقق,trust,,,positive,,emolex
التحقق,trust,green,,positive,,emolex
الحق,trust,,,positive,,emolex
مخضرم,trust,,,positive,,emolex
كاهن,trust,white,,positive,,emolex
قوي,trust,,,positive,weak,emolex
قروي,trust,,,positive,,emolex
عذراء,trust,white,,positive,,emolex
استنادا,trust,white,,positive,strong,emolex
المتطوعين,trust,,,,,emolex
نذري,trust,white,,,,emolex
جزم,trust,,,positive,strong,emolex
إيصال,trust,,,,,emolex
ضمان,trust,purple,,positive,,emolex
كلب الحراسة,trust,,,positive,strong,emolex
مؤرق,trust,,,positive,,emolex
الحارس,trust,,,positive,,emolex
البس، ارتداء,trust,brown,active,negative,,emolex
صحي,trust,,,positive,strong,emolex
حكمة,trust,,,positive,strong,emolex
الشاهد,trust,white,,,,emolex
كلمة,trust,white,,positive,,emolex
ذو قيمة,trust,,,positive,strong,emolex
سوالف,trust,,,positive,,emolex
شديد الأنحدار,surprise,,,negative,weak,emolex
من غير قصد,surprise,,,,,emolex
تدهش,surprise,purple,,positive,strong,emolex
تقدير,surprise,,,,weak,emolex
مدهش,surprise,,,positive,strong,emolex
غريب,surprise,,,negative,strong,emolex
حرب خاطفة,surprise,red,,,,emolex
استراحة,surprise,,active,negative,weak,emolex
هزلي,surprise,,,,,emolex
كابل,surprise,black,,,,emolex
تمويه,surprise,green,,,,emolex
مموهة,surprise,green,,,,emolex
قبض على,surprise,blue,active,,,emolex
فرصة,surprise,,passive,,,emolex
صدفة,surprise,,passive,,,emolex
شرك,surprise,grey,,,,emolex
بشكل مختلف,surprise,,,,,emolex
متشعب,surprise,,,negative,weak,emolex
تحويل,surprise,,,positive,,emolex
ديناميكي,surprise,purple,active,positive,weak,emolex
صعبة المنال,surprise,,,negative,,emolex
شارد,surprise,orange,,negative,strong,emolex
صرخ,surprise,red,,negative,strong,emolex
حظ,surprise,,,,,emolex
تثاءب,surprise,,,negative,strong,emolex
لهاث,surprise,,,negative,strong,emolex
البله,surprise,,,negative,strong,emolex
تحية,surprise,,,positive,,emolex
خمن,surprise,,active,,,emolex
خنثى,surprise,black,,negative,,emolex
حشد,surprise,,,negative,weak,emolex
وهم,surprise,,passive,negative,strong,emolex
الفورية,surprise,,,,,emolex
ارتجال,surprise,orange,,,,emolex
حادث,surprise,,,,,emolex
