words,emotion,color,orientation,sentiment,subjectivity,source
ذروة,,yellow,,,,colour
تعريف,trust,,,positive,,inquirer
معرفة,trust,,,positive,,inquirer
مطلع,,yellow,,,,colour
يكتسب,trust,green,active,positive,,emolex
يكتسب,anticipation,green,active,positive,,emolex
يكتسب مهارة,joy,green,active,positive,,emolex
يكتسب مهارة,trust,green,active,positive,strong,emolex
استحواذ , إستحوذ,anger,,active,,,inquirer
الاستحواذ,anger,grey,,,,colour
استحواذ , إستحوذ,fear,,active,,,inquirer
الاستحواذ,fear,grey,,,,colour
أبرئ,trust,,,positive,weak,mpqa
تبرئة,trust,,,positive,strong,inquirer
أبرئ,surprise,,,positive,weak,mpqa
تبرئة,surprise,,,positive,strong,inquirer
الحدة,anger,,,negative,strong,opinion
بصورة حادة,anger,,,negative,strong,opinion
حدة,anger,,passive,negative,strong,opinion
فعل سئ,fear,,active,,,inquirer
فعل سئ,anger,,active,,,inquirer
فعل سئ,Disgust,,active,,,inquirer
التمثيل , ممثل ,joy,orange,,,,colour
ممثل عن,trust,orange,,,,colour
عمل,trust,green,active,positive,,emolex
نشيط,joy,,active,positive,weak,mpqa
ناشط,trust,,,,strong,mpqa
نشاط,joy,,active,,,inquirer
الممثل,joy,,active,,,inquirer
فعلي,trust,,,positive,strong,emolex
حقيقة,trust,black,,positive,strong,mpqa
فعلا,trust,,,,strong,mpqa
فطنة,trust,,,positive,strong,emolex
فطنة,anticipation,,,positive,strong,emolex
عنيد,anger,,,negative,strong,opinion
عنيد,fear,,,negative,strong,opinion
بعناد,anger,,,negative,strong,opinion
بعناد,fear,,,negative,strong,opinion
تكيف,trust,,active,positive,,emolex
تكيف,anticipation,,,positive,weak,mpqa
قابل للتكيف,trust,,,positive,strong,emolex
تكيف,surprise,,,positive,,inquirer
التكيف,trust,,,positive,weak,opinion
مدمن,Disgust,,,negative,strong,opinion
مدمن,anger,,,negative,strong,opinion
مدمن,fear,,,negative,,opinion
الإدمان,fear,,,negative,,opinion
إدمان,fear,black,,negative,weak,emolex
إدمان,anger,black,,negative,weak,emolex
المدمنين,Disgust,,,negative,,opinion
المدمنين,anger,,,negative,,opinion
المدمنين,fear,,,negative,,opinion
ماهر,joy,,,positive,weak,emolex
ماهر,trust,,,positive,weak,emolex
بمهارة,trust,,,positive,strong,mpqa
بمهارة,joy,,,positive,weak,mpqa
مهارة,trust,,,positive,strong,inquirer
مهارة,joy,,,positive,,inquirer
كاف,trust,grey,,positive,weak,opinion
تقيد,trust,,passive,,,inquirer
التزام,trust,,,positive,weak,mpqa
نصير,trust,,,positive,weak,mpqa
التصاق,trust,,,positive,weak,mpqa
لاصق,trust,,,positive,,inquirer
وداعا,asdness,blue,,,,colour
دهني,,,,negative,,emolex
تأجيل,sadness,,passive,,,inquirer
تأجيل,surprise,,passive,,strong,inquirer
المساعد,trust,grey,,positive,,emolex
يعدل , العدالة , العدالة الإجتماعية,trust,,,positive,,inquirer
قابل للتعديل,trust,,,positive,,opinion
تعديل,trust,,passive,positive,,inquirer
تعديل,surprise,,passive,positive,strong,inquirer
تعديل,anticipation,,passive,positive,,inquirer
إدارة,trust,,active,,,inquirer
الادارة,trust,,active,,,inquirer
رائع,joy,,,positive,strong,opinion
المعجب,joy,pink,,positive,strong,emolex
الإعجاب,joy,,,positive,strong,opinion
بإعجاب,joy,,,positive,strong,opinion
قبول,trust,,passive,positive,weak,mpqa
يعترف,trust,,passive,positive,strong,mpqa
دخول,anticipation,,active,positive,,inquirer
المسلم,trust,,,positive,strong,mpqa
اعترف,trust,blue,,,,colour
عاتب,sadness,,active,negative,strong,opinion
النصح,trust,,,negative,strong,opinion
المراهقين,fear,,,,strong,mpqa
تبنى,trust,yellow,passive,,,inquirer
المعشوق,joy,,,positive,strong,opinion
عابد,anger,,,positive,strong,opinion
العشق,joy,,,positive,strong,opinion
باعجاب,joy,,,positive,strong,opinion
تزين,joy,pink,active,positive,,inquirer
زينة,joy,,,positive,,inquirer
لبق,trust,,,positive,strong,opinion
ببراعة,trust,,,positive,strong,opinion
تملق,fear,,,positive,strong,opinion
تزلف,,,,positive,strong,opinion
متزلف,,,,positive,strong,opinion
بالغ,trust,white,,positive,,inquirer
غش,anger,,,negative,strong,opinion
المغشوشة,anger,,,negative,strong,emolex
غش,fear,,,negative,strong,opinion
غش تجاري,fear,,,negative,strong,opinion
المتقدمة,trust,yellow,,positive,weak,emolex
تقدم,trust,,,positive,,emolex
تقدم,surprise,,,positive,,emolex
أحرز تقدم,surprise,,,positive,,emolex
أفضلية,trust,,,positive,weak,emolex
مفيد,trust,,,positive,strong,emolex
مفيد,joy,,,positive,,opinion
مزايا,joy,,,positive,weak,opinion
مغامرا,joy,,active,positive,strong,opinion
مغامرا,surprise,,active,positive,strong,opinion
مغامرا,anticipation,,active,positive,strong,opinion
المغامرة,joy,,,positive,strong,mpqa
مغامر,joy,,active,positive,weak,emolex
مغامر,fear,,active,positive,weak,emolex
الخصومة,anger,,,negative,weak,opinion
الخصومة,fear,,,negative,weak,opinion
الخصومة,surprise,,,negative,weak,opinion
المتأنية,trust,yellow,,,,colour
دعا,trust,,,positive,,opinion
دعاة,trust,,,positive,,opinion
جمالي,joy,,,positive,,emolex
الدماثة,Disgust,,,positive,weak,opinion
أنيس,trust,,,positive,strong,emolex
قضية,fear,grey,active,,,inquirer
تؤثر,fear,,active,,weak,mpqa
متأثر,sadness,,,,strong,mpqa
حنون,trust,,,positive,strong,opinion
التابعة لها,trust,,active,positive,,inquirer
التابعة,trust,,,positive,,emolex
الانتماء,trust,,,positive,,inquirer
التقارب,,,,positive,weak,opinion
تأكيد,trust,,,positive,strong,emolex
اثبات,trust,,,positive,weak,emolex
لصق,,,active,positive,,inquirer
منكوب,sadness,,,negative,,emolex
فاجع,sadness,,,negative,strong,opinion
غني,fear,green,,positive,weak,emolex
تحمل,trust,green,,positive,weak,emolex
بأسعار معقولة، ميسور، متناول اليد,anticipation,,,positive,weak,opinion
كلفة معقولة,anticipation,,,positive,,opinion
من جديد,trust,white,,,,colour
المذاق المتخلف في الفم,Disgust,,,negative,,emolex
مستدركا,surprise,grey,,,,colour
ضد,anger,,,negative,weak,mpqa
عمر,,grey,,,,colour
تزيد من حدة,anger,,active,negative,strong,opinion
تزيد من حدة,fear,,active,negative,strong,opinion
مجموع,,,,positive,,inquirer
تجميع,,,,positive,,inquirer
عدوانية,anger,,active,negative,strong,opinion
ضايق,anger,,active,negative,strong,opinion
ضايق,fear,,active,negative,strong,opinion
مضطهد,sadness,,,negative,strong,opinion
مضطهد,anger,,,negative,strong,opinion
ذكي,trust,,,positive,weak,emolex
رشاقة,joy,,,positive,weak,emolex
حاور,trust,,active,negative,strong,mpqa
المهيج,,,,negative,strong,mpqa
عذاباته,sadness,,,negative,strong,opinion
احتضر,sadness,,passive,negative,strong,opinion
مؤلم,sadness,,,negative,strong,opinion
يوافق على,trust,,passive,positive,strong,emolex
ملاءمة,trust,,,positive,strong,mpqa
منسجما مع,joy,,,positive,strong,opinion
زراعي,,green,,,,colour
الزراعة,,green,,positive,,emolex
جانح,anger,brown,,negative,,emolex
أغوا,Disgust,blue,,,,colour
المكانية,,,,positive,,emolex
مساعدة,trust,green,active,positive,,emolex
مساعدة,anticipation,,,positive,,emolex
وعكة,sadness,brown,,negative,weak,opinion
هدف، تصويب,surprise,,active,,,inquirer
مرمر,,white,,positive,,emolex
قلق,fear,,,negative,strong,opinion
المرعب,fear,,,negative,strong,opinion
واحسرتاه,sadness,,,negative,strong,mpqa
كحول,Disgust,brown,,,,colour
مختل,fear,brown,,,,colour
محزر,,red,active,,weak,mpqa
فصة,,green,,,,colour
إجبار,anger,black,,,,colour
إجبار,Disgust,black,,,,colour
عذر,,white,passive,,,inquirer
ترجل,trust,,,positive,,inquirer
انتقام,anger,yellow,,,,colour
تغذية,trust,,,positive,,emolex
نفقة الزوجة المطلقة,,,,negative,,emolex
جميع حول,,,,positive,,opinion
كل الوقت,,,,,weak,mpqa
تهدئة,trust,,,positive,strong,emolex
مزاعم,fear,,,negative,strong,opinion
مزاعم,anger,,,negative,strong,opinion
مزاعم,Disgust,,,negative,strong,opinion
زعم,Disgust,,,negative,weak,emolex
عبر بالمجاز,anticipation,,,,strong,mpqa
اليجرو,,,,positive,,emolex
الحساسية,sadness,,,negative,weak,opinion
الحساسية,fear,,,negative,,opinion
حساسية,surprise,,,negative,,opinion
تخفيف,trust,,active,positive,weak,emolex
تخفيف,anticipation,,,positive,,emolex
التحالفات,fear,,,,strong,mpqa
حلفاء,,,,positive,,inquirer
تمساح إستوائي,fear,green,,,,colour
السماح,trust,,passive,positive,weak,mpqa
مسموح,trust,,,positive,weak,emolex
بدل,,green,,positive,,inquirer
سمح,trust,green,,,,colour
أشابة,,grey,,,,colour
فاتن,joy,,,positive,strong,emolex
إشارة,,,,,strong,mpqa
التلميحات,fear,,,,strong,mpqa
طمي,,brown,,,,colour
عز وجل,trust,white,,positive,strong,emolex
بمعزل,,white,passive,negative,strong,emolex
بصوت عال,trust,purple,,,,colour
تغير,fear,grey,active,,,inquirer
البديل,fear,,active,,,inquirer
برغم من,trust,,,negative,weak,mpqa
تماما,trust,,,,strong,mpqa
مؤثر,trust,,,positive,strong,mpqa
عنده إيثار,trust,,,positive,strong,opinion
خال من الأنانية,trust,,,positive,strong,opinion
ملغم,,grey,,,,colour
مندهش,surprise,,,positive,strong,opinion
ذهول,surprise,,,positive,strong,opinion
يذهل,surprise,,,positive,,opinion
رائعة حقا,joy,,,positive,strong,opinion
محيط ب,,yellow,,,,colour
التباس,fear,,,negative,strong,opinion
غامض,fear,grey,,negative,strong,emolex
طموح,trust,,active,positive,weak,opinion
طموح,anticipation,,,positive,weak,opinion
ازدواجية,fear,,,negative,strong,opinion
متردد,fear,,,negative,strong,opinion
متردد,anger,,,negative,strong,opinion
تحسن,anticipation,green,active,positive,strong,emolex
لطافة,joy,green,,positive,weak,emolex
لطف,joy,,,positive,strong,opinion
ودي,joy,,,positive,strong,emolex
المودة,joy,,,positive,strong,opinion
ناقص,fear,,,negative,strong,opinion
وئام,trust,,,positive,weak,opinion
ذخيرة,anger,grey,,,,colour
فقدان الذاكرة,sadness,,,negative,,emolex
كمية,,green,,,,colour
برمائي,,green,,,,colour
فسيح,,,,positive,weak,opinion
يضخم، يوسع، يبالغ,fear,,active,positive,weak,mpqa
بإسهاب,trust,,,positive,weak,opinion
بتر,sadness,,active,negative,weak,opinion
متعجبا,surprise,,,positive,strong,opinion
مخدر,Disgust,grey,,,,colour
شرجي,Disgust,,,negative,,emolex
مسكن للألم ,sadness,white,,,,colour
تحليل,,,active,,,inquirer
تحليلي,,,active,,,inquirer
تحليلية,,,active,,weak,mpqa
تحليل,,,active,,,inquirer
فوضوية,anger,,,negative,strong,opinion
مذيع الأخبار,anger,,,positive,,emolex
عتيق,trust,grey,,negative,,emolex
مصاب بفقر الدم,sadness,,,negative,weak,opinion
شقائق النعمان,,pink,,,,colour
من جديد,anticipation,white,,,,colour
بغضب,anger,,,negative,strong,opinion
حيوان,,brown,,,,colour
حي,surprise,,,positive,,emolex
الرسوم المتحركة,joy,,active,,,inquirer
مضايقات,fear,,,negative,,opinion
منزعج,sadness,,,negative,strong,opinion
مزعج,anger,,,negative,strong,opinion
يزعج,anger,,,negative,,opinion
فسخ,fear,,,negative,,emolex
مسح بالزيت,,,active,positive,,inquirer
شاذ,Disgust,,,negative,weak,opinion
مجهول,fear,,,negative,,emolex
إجابة,,,active,,,inquirer
نملة,,black,,,,colour
يقاوم,anger,,active,negative,strong,opinion
ظبي,,brown,,,,colour
هوائي,,black,,,,colour
نشيد وطني,,red,,,,colour
مضاد,,,,negative,strong,opinion
مناهضة للولايات المتحدة,,,,negative,strong,opinion
معاديا لإسرائيل,anger,,,negative,strong,opinion
المناهضة للاحتلال,anger,,,negative,strong,opinion
منع الانتشار النووي,trust,,,negative,strong,opinion
معاداة للسامية,trust,,,negative,strong,opinion
مكافحة الاجتماعية,anger,,,negative,strong,opinion
مكافحة لنا,anger,,,negative,strong,opinion
مكافحة الأبيض,anger,,,negative,strong,opinion
مضادات حيوية,trust,,,positive,,emolex
توقع,anticipation,,passive,,,inquirer
مهمل,anger,,,negative,strong,emolex
أثر قديم,sadness,grey,,positive,,emolex
العصور القديمة,joy,grey,,,,colour
متناقض,anger,,,negative,strong,opinion
سندان الحداد,fear,grey,,,,colour
القلق,anger,,,negative,strong,opinion
بقلق,anger,,,negative,strong,opinion
الحرص,anger,,passive,negative,strong,opinion
بأية حال,,,,,strong,mpqa
على أي حال,trust,,,,strong,mpqa
على أي حال,anticipation,,,,strong,mpqa
الأبهر,,red,,,,colour
ثقة بالنفس,trust,,,positive,,emolex
نهاية العالم,sadness,,,negative,strong,opinion
المروع,fear,,,negative,strong,opinion
المدافع عن دين أو قضية,trust,,,negative,strong,opinion
المدافعون,trust,,,negative,strong,opinion
اعتذار,trust,,,positive,,emolex
اقتباس أحادية,,black,,,,colour
تأليه,apsor,,,positive,strong,opinion
فزع,surprise,,,negative,strong,opinion
فزع,surprise,,,negative,strong,opinion
بالفزع,fear,,,negative,strong,opinion
مفزع,fear,,,negative,strong,opinion
جهاز,,grey,,,,colour
كما يبدو,trust,,,,weak,mpqa
جذاب,joy,,,positive,strong,opinion
بدا,,,passive,,weak,mpqa
مظهر خارجي,fear,,passive,,weak,mpqa
استرضاء,trust,,active,positive,weak,mpqa
مستأنف,,white,,,,colour
ألحق,,,active,positive,,inquirer
الملحق,,white,,,,colour
نشيد,joy,,active,positive,strong,opinion
تفاحة,,red,,,,colour
جهاز,,grey,,,,colour
الأجهزة,,white,,,,colour
تطبيق,,,active,,,inquirer
عين,trust,,active,positive,,inquirer
موعد,,,active,,,inquirer
توزيع,,white,,,,colour
تقييم,,green,,,,colour
ممكن إدراكه,trust,red,,positive,weak,opinion
يستفسر,anticipation,,passive,positive,strong,opinion
محل تقدير,,,,positive,,opinion
تقدر,,,,positive,,opinion
ممتدح,joy,,,positive,strong,opinion
بتقدير,joy,,,positive,strong,opinion
مخاوف,fear,,,negative,strong,opinion
بقلق،,fear,,,negative,strong,opinion
التمهن,,orange,,,,colour
مقاربة,,,active,positive,,inquirer
مناسب,trust,,,positive,weak,opinion
استيلاء,anger,,,negative,,emolex
استيلاء,Disgust,,,negative,,emolex
موافقة,trust,,,positive,weak,emolex
تصديق,trust,,,positive,,emolex
تقريبي,anticipation,grey,,,,colour
تقريبا,anticipation,grey,,,,colour
تقريب,anticipation,green,,,,colour
مئزر,,white,,,,colour
ملائم,trust,,,positive,weak,emolex
موهبة,joy,,,positive,weak,emolex
بجدارة,surprise,,,positive,weak,mpqa
حوض سمك,joy,blue,,,,colour
مائي,,blue,,,,colour
قناة,,blue,,,,colour
مائي,,blue,,,,colour
أرض صالحة للزراعة,trust,green,,,,colour
اعتباطيا,anticipation,,,negative,strong,opinion
التحكيم,,,active,positive,,inquirer
شجرة,,green,,,,colour
غامضة,fear,,,negative,strong,opinion
أثري,joy,brown,,,,colour
عالم اثار,trust,brown,,,,colour
ممات,sadness,grey,,negative,strong,emolex
بحماسة,joy,,,positive,strong,opinion
حماسة,joy,red,,positive,strong,emolex
شاق,sadness,,,negative,strong,emolex
مضنية,sadness,,,negative,strong,opinion
فضة,joy,white,,,,colour
جدلي,anger,,,negative,strong,emolex
تنشأ,,,active,,,inquirer
نهض,trust,,,positive,,inquirer
أرستقراطية,,,,positive,,emolex
نبيل,trust,,,positive,,inquirer
أرستوقراطي,,purple,,positive,weak,emolex
علم الحساب,trust,black,,,,colour
تابوت,sadness,brown,,,,colour
ذراع,,,active,,,inquirer
أسطول حربي,anger,grey,,,,colour
جيش,anger,green,,,,colour
نكهة,joy,,,positive,,emolex
نشأت,,,active,,,inquirer
إثارة,joy,red,,positive,strong,mpqa
إثارة,surprise,,,positive,strong,mpqa
رتب,trust,,active,,,inquirer
ترتيب,trust,,active,,,inquirer
مجموعة مصفوفة,trust,,,positive,,emolex
متأخرات,anger,red,,negative,,emolex
يقبض على,anger,,active,negative,,emolex
يقبض على,trust,,active,negative,,emolex
غطرسة,anger,,,negative,strong,emolex
بغطرسة,anger,,,negative,strong,opinion
شريان,,red,,,,colour
المفصلية,,brown,,,,colour
خرشوف,,green,,,,colour
مقالات,,white,,,,colour
يتكلم بوضوح,trust,,active,positive,strong,emolex
طريقة التعبير اللفظي,,white,,positive,,emolex
مصطنع,anger,,,negative,weak,mpqa
الحرفيين,,,,positive,,emolex
الفنان , المغني ,الممثل ,الراقص,joy,,,positive,,emolex
فني,joy,blue,,positive,,emolex
صعد,trust,,active,,,inquirer
هيمنة,anger,,,positive,,emolex
صاعد,trust,,,positive,strong,mpqa
صعود,anticipation,white,,,,colour
صعود,surprise,,active,positive,,emolex
تأكد,trust,,active,,,inquirer
التحقق منها,trust,,,positive,strong,mpqa
التثبت,trust,,active,,,inquirer
نسب ل,trust,,active,positive,,inquirer
رماد,,,,negative,,emolex
أبله,Disgust,,,negative,strong,opinion
بغباء,fear,,,negative,strong,opinion
يطلب,fear,,active,,,inquirer
بارتياب,fear,,,negative,strong,opinion
نائم,,,passive,,,inquirer
خشونة,anger,,,negative,strong,opinion
تشهير,surprise,,,negative,strong,opinion
الطعن,sadness,,,negative,strong,opinion
الطعن,surprise,,,negative,strong,opinion
أسفلت,,black,,,,colour
تطلعات,anticipation,,,positive,strong,opinion
حمار,anger,brown,,negative,,emolex
جمعيه,,,active,,,inquirer
موافقة,trust,,,positive,strong,emolex
يجزم,trust,,active,,,inquirer
توكيد,trust,blue,,positive,,inquirer
تأكيدات,trust,,,positive,strong,mpqa
جازم,trust,,,positive,weak,mpqa
تقييم,anticipation,,,,strong,mpqa
تقييم,surprise,,,,weak,mpqa
الأصول,,,,positive,weak,mpqa
الأصول,,green,,positive,,emolex
مجتهد,trust,,,positive,strong,mpqa
بدأب,trust,,,positive,strong,mpqa
تعيين,trust,,active,,,inquirer
مهمة,trust,yellow,active,,,inquirer
هضم,,white,passive,,,inquirer
مساعدة,trust,,active,positive,,emolex
مساعد,trust,,active,positive,,inquirer
هدأ,surprise,,,positive,weak,emolex
assult,,,,negative,,opinion
افترض,anticipation,,passive,,,inquirer
افتراض,anticipation,,passive,,weak,mpqa
تأكيدات,trust,,,positive,weak,opinion
ضمان,trust,,,positive,,opinion
اذهل,surprise,,,positive,strong,opinion
مندهش,surprise,,,positive,strong,opinion
مذهل,surprise,,,positive,strong,opinion
ذهل,surprise,,active,positive,strong,opinion
بالذهول,surprise,,,positive,strong,opinion
مذهل,joy,,,positive,strong,opinion
وسط ذهول,surprise,,,positive,strong,opinion
ضحك,joy,,,,strong,mpqa
ذكي,trust,,,positive,strong,emolex
بذكاء,trust,,,positive,strong,opinion
اربا,Disgust,,passive,negative,strong,opinion
لا متماثل,fear,grey,,,,colour
لا متماثل,surprise,grey,,,,colour
الإلحاد,anger,,,negative,,emolex
رياضي,joy,,,positive,,emolex
رياضي,joy,,,positive,,emolex
الالعاب الرياضية,joy,green,,,,colour
الاعمال الوحشية,anger,,,negative,strong,opinion
الاعمال الوحشية,sadness,,,negative,strong,opinion
هجمات,anger,,,negative,,opinion
تحقيق,trust,,active,positive,weak,mpqa
إحراز,joy,,active,positive,,emolex
حضر,anticipation,,active,positive,,inquirer
انتباه,surprise,,passive,positive,,emolex
جذب,surprise,,,positive,,inquirer
جاذبية,joy,,,positive,strong,emolex
ملفت للانتباه,surprise,,,positive,strong,opinion
جذابة,joy,,,positive,strong,opinion
إنهاك,sadness,grey,,,,colour
جريء,fear,orange,,negative,strong,opinion
بجرأة,fear,,,negative,strong,opinion
الجرأة,surprise,,,negative,strong,opinion
الجرأة,fear,red,,negative,strong,emolex
سمع بوضوح,trust,,,positive,,opinion
رعاية,trust,green,,,,colour
تقشف,sadness,black,,negative,,emolex
استبدادي,anger,,,negative,weak,opinion
مخول,trust,,,positive,,emolex
المستبد,anger,,,negative,strong,opinion
استبدادي,anger,,,negative,strong,emolex
المستبد,Disgust,,,negative,strong,opinion
استبدادي,Disgust,,,negative,strong,emolex
واثق من نفسه,trust,,,positive,weak,opinion
الخريف , خريف العمر,sadness,orange,,,,colour
توفر,trust,,,positive,,inquirer
متاح,trust,,,positive,,opinion
بخيل,Disgust,,,negative,strong,opinion
ثأر,anger,,active,negative,strong,opinion
جزم,trust,,,positive,strong,opinion
نهم,Disgust,,,positive,strong,opinion
بشوق,joy,,,positive,strong,opinion
منحت,joy,,,positive,,opinion
جوائز,joy,,,positive,,opinion
وصف,anticipation,,passive,positive,strong,mpqa
وعي,trust,,passive,positive,strong,mpqa
رعب,fear,,,positive,strong,opinion
بالرعب,fear,,,positive,strong,opinion
رائع,joy,,,positive,strong,opinion
بذهول,surprise,,,positive,strong,opinion
الذهول,surprise,,,positive,strong,opinion
مرعوب,fear,,,positive,strong,opinion
على نحو بغيض,Disgust,,,negative,strong,opinion
على نحو بغيض,anger,,,negative,strong,opinion
الفظاعة,Disgust,,,negative,strong,opinion
منحرف,Disgust,,,negative,,emolex
إلى الأبد,trust,,,positive,,emolex
ثرثرة,Disgust,blue,active,negative,strong,emolex
ثرثار,Disgust,,,negative,,emolex
شهادة البكالوريا,trust,,,positive,,emolex
آلام الظهر,sadness,,,negative,,opinion
آلام الظهر,sadness,,,negative,,opinion
يغتب ,anticipation,,,negative,strong,opinion
الغيبة,Disgust,,,negative,strong,opinion
دعم,trust,,,positive,,inquirer
